tempo,onset_mean,onset_var,onset_max,autocorr_mean,autocorr_var,autocorr_max,pulse_mean,pulse_var,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,label,filename
198.76802884615384,1.1140132,0.5784946,10.052254,535.7916,101863.4,1568.4263,0.19919418,0.06943733,84.3574,-45.148647,-12.0758505,-30.724985,-12.992804,23.41351,19.460314,9.976962,9.073062,9.67448,teentaal,Dil Ki Tapish - Full Audio ｜ Katyar Kaljat Ghusli ｜ Sachin Pilgaonkar & Shankar Mahadevan_001.wav
117.45383522727273,1.2754725,1.7605213,15.017199,702.85724,211493.16,2919.8967,0.20201461,0.08783009,99.559555,-11.585967,9.774982,-5.3196874,0.48814538,23.402473,14.099247,15.401542,15.264059,8.868457,teentaal,Dil Ki Tapish - Full Audio ｜ Katyar Kaljat Ghusli ｜ Sachin Pilgaonkar & Shankar Mahadevan_002.wav
117.45383522727273,1.4200023,1.3601505,8.868948,870.7597,268189.88,2910.5925,0.22953983,0.08393554,97.51265,-15.601081,18.63021,-2.6818688,-0.9998642,18.267351,17.187641,14.569869,16.265629,12.480886,teentaal,Dil Ki Tapish - Full Audio ｜ Katyar Kaljat Ghusli ｜ Sachin Pilgaonkar & Shankar Mahadevan_003.wav
117.45383522727273,1.4608985,1.7194935,8.714158,921.77783,319658.4,3321.905,0.27865714,0.11614064,100.437515,-12.496896,18.707092,-0.93358624,0.50875163,21.762434,15.065473,13.574754,14.783571,10.030104,teentaal,Dil Ki Tapish - Full Audio ｜ Katyar Kaljat Ghusli ｜ Sachin Pilgaonkar & Shankar Mahadevan_004.wav
117.45383522727273,1.5165851,1.6925573,11.601726,993.3095,328894.38,3441.6108,0.2198811,0.078035615,107.124435,-17.98775,12.984182,-5.434651,1.4315424,16.663921,14.785877,15.556992,16.284586,8.321744,teentaal,Dil Ki Tapish - Full Audio ｜ Katyar Kaljat Ghusli ｜ Sachin Pilgaonkar & Shankar Mahadevan_005.wav
117.45383522727273,1.5782272,2.0068634,10.336604,1075.7842,414514.5,3876.9868,0.2620014,0.10724587,105.816505,-10.996878,18.217077,-0.9764558,0.9915042,20.43732,17.714231,12.843324,16.55166,10.074308,teentaal,Dil Ki Tapish - Full Audio ｜ Katyar Kaljat Ghusli ｜ Sachin Pilgaonkar & Shankar Mahadevan_006.wav
78.30255681818181,1.5944747,2.5246327,10.711211,1098.286,511359.47,4367.7383,0.20131332,0.07443872,101.54923,-7.6011887,19.223392,0.98875934,-2.0779378,24.666245,15.147423,13.400745,16.27835,10.107676,teentaal,Dil Ki Tapish - Full Audio ｜ Katyar Kaljat Ghusli ｜ Sachin Pilgaonkar & Shankar Mahadevan_007.wav
112.34714673913044,0.98512554,1.588173,17.748142,419.55286,54512.586,2205.5522,0.122885734,0.050880715,87.43277,-11.951106,3.4705555,-13.009641,-1.8365525,32.708447,16.417622,13.103856,14.12103,7.948327,teentaal,Dil Ki Tapish - Full Audio ｜ Katyar Kaljat Ghusli ｜ Sachin Pilgaonkar & Shankar Mahadevan_008.wav
99.38401442307692,1.6944503,3.1765969,15.306961,1240.4945,508536.56,5213.168,0.20089678,0.06997156,122.022575,-24.68109,15.390727,3.204943,-3.3204014,32.698376,30.183186,19.70256,14.150485,12.635294,teentaal,Ghei Chhand Makarand ｜ Katyar Kaljat Ghusali ｜ Dr. Vasantrao Deshpande_001.wav
151.99908088235293,1.6467627,2.6830995,9.480352,1171.4952,477403.4,4650.4272,0.20271917,0.073694505,128.63322,-27.05279,13.387587,0.22511224,-1.7268121,24.362555,17.065462,12.451565,12.034964,8.628527,teentaal,Ghei Chhand Makarand ｜ Katyar Kaljat Ghusali ｜ Dr. Vasantrao Deshpande_002.wav
107.666015625,1.677457,2.932293,11.456888,1215.6473,499902.03,4953.1846,0.21505706,0.0800952,121.315636,-31.414927,13.301105,-2.2225518,-2.9127905,24.833057,15.604609,13.876227,12.085703,8.531157,teentaal,Ghei Chhand Makarand ｜ Katyar Kaljat Ghusali ｜ Dr. Vasantrao Deshpande_003.wav
151.99908088235293,1.4971108,2.0733302,10.118345,968.1754,333668.38,3719.2466,0.20077127,0.07487785,114.07997,-27.414825,2.3868797,-10.555295,1.5236884,31.720497,16.044888,10.46619,21.015987,9.189832,teentaal,Ghei Chhand Makarand ｜ Katyar Kaljat Ghusali ｜ Dr. Vasantrao Deshpande_004.wav
161.4990234375,1.6158453,2.5312858,10.403287,1127.8932,446911.8,4432.612,0.20546372,0.070574336,113.6803,-34.926727,6.4179335,-11.601592,0.70707935,29.008215,15.247961,10.503334,18.495476,9.495174,teentaal,Ghei Chhand Makarand ｜ Katyar Kaljat Ghusali ｜ Dr. Vasantrao Deshpande_005.wav
161.4990234375,1.7203732,3.1397488,11.40635,1278.6735,616495.3,5257.7104,0.15037665,0.048607092,121.78876,-35.190895,8.970836,-11.409617,2.6057837,22.722816,14.338861,11.105475,17.287514,10.612629,teentaal,Ghei Chhand Makarand ｜ Katyar Kaljat Ghusali ｜ Dr. Vasantrao Deshpande_006.wav
151.99908088235293,1.6363804,2.7640414,9.372542,1156.8273,451850.66,4690.816,0.18895322,0.065331526,127.22112,-33.4722,14.285254,-2.2671535,-2.111765,23.378704,15.869826,12.086974,12.120219,8.929717,teentaal,Ghei Chhand Makarand ｜ Katyar Kaljat Ghusali ｜ Dr. Vasantrao Deshpande_007.wav
161.4990234375,1.7359234,3.3223546,11.390106,1301.9562,632492.75,5461.4463,0.21160005,0.078755796,120.15063,-35.076847,10.193808,-7.875246,0.52371705,20.107336,16.642954,13.272231,16.216333,10.685358,teentaal,Ghei Chhand Makarand ｜ Katyar Kaljat Ghusali ｜ Dr. Vasantrao Deshpande_008.wav
